SiteId,Length,Weight
site1,137,28
site1,115,13
site1,70,2
site1,53,2
site1,470,1195
site1,90,7
site1,55,2.1
site1,54,3
site1,84,7
site1,79,6
site1,194,10
site1,80,4
site1,111,16
site1,138,27.9
site1,59,2
site1,125,23
site1,124,17
site1,50,2
site1,61,4
site1,69,3
site1,85,7
site1,88,14
site1,68,3
site1,56,3
site1,140,29
site1,127,18
site1,97,8
site1,82,8
site1,195,82
site1,76,5
site1,80,6
site1,61,2
site1,177,52
site1,77,4
site1,50,3
site1,100,9
site1,105,11
site1,80,7
site1,110,29
site1,219,115
site1,95,11
site1,151,39
site1,62,2
site1,78,4
site1,88,6
site1,84,6
site1,65,2
site1,100,8
site1,119,15
site1,161,40
site1,127,21
site1,147,36
site1,72,4
site1,52,2
site1,65,5
site1,93,9
site1,115,13
site1,149,35
site1,85,6
site1,184,66
site1,60,2.5
site1,116,16
site1,66,3
site1,76,5
site1,80,6.3
site1,85,4
site1,61,3.1
site1,72,6
site1,145,22
site1,67,2
site1,57,2
site1,115,12
site1,73,4
site1,100,13
site1,74,4
site1,90,7
site1,53,3
site1,81,8
site1,83,8
site1,105,10
site1,58,2
site1,85,4
site1,65,2
site1,89,7
site1,79,6
site1,66,3
site1,56,2
site1,98,12
site1,94,4
site1,81,6
site1,60,2
site1,64,3
site1,72,3
site1,64,2
site1,79,6
site1,56,3
site1,70,2
site1,80,5
site1,104,11
site1,91,6
site1,115,13
site1,83,5.68
site1,85,6
site1,61,2
site1,71,3
site1,189,46
site1,108,13
site1,50,2
site1,141,26
site1,110,14
site1,87,7
site1,141,27
site1,95,9
site1,136,22
site1,165,55
site1,46,2
site1,75,4
site1,149,35
site1,84,6
site1,77,5
site1,65,2
site1,70,4
site1,58,2.032
site1,46,2
site1,51,3
site1,77,4
site1,64,3
site1,171,47
site1,61,2.495
site1,85,5
site1,80,4
site1,115,15
site1,54,2
site1,65,2
site1,88,7
site1,60,4
site1,60,3
site1,51,2
site1,69,4.35
site1,184,68
site1,97,10
site1,139,24
site1,59,3
site1,146,27
site1,83,2
site1,141,32
site1,92,6
site1,73,5
site1,71,4
site1,61,3.132
site1,70,4
site1,84,6
site1,80,6
site1,86,6
site1,95,9
site1,162,39
site1,111,27
site1,75,3
site1,75,4
site1,74,4
site1,65,2.689
site1,101,7
site1,76,5
site1,72,3
site1,115,16
site1,61,3
site1,77,5
site1,60,2.571
site1,76,4
site1,68,2
site1,85,13
site1,62,2
site1,69,4
site1,194,81
site1,362,750
site1,85,6
site1,93,9
site1,59,2
site1,66,2
site1,91,8
site1,97,12
site1,75,3
site1,182,61
site1,144,25
site1,60,4
site1,58,2
site1,55,2
site1,94,7
site1,50,2
site1,62,2
site1,55,2.327
site1,69,5
site1,110,14
site1,58,3
site1,60,2
site1,120,19
site1,81,6
site1,92,10
site1,80,4
site1,136,23
